complaint_id,order_id,complaint_type,resolution_time
556,84185,Wrong Item,15
557,88256,Wrong Item,34
558,96713,Missing Item,60
559,63324,Late Delivery,39
560,18335,Cold Food,1
561,59635,Late Delivery,17
562,18528,Cold Food,4
563,28228,Late Delivery,44
564,9012,Late Delivery,42
565,51791,Missing Item,24
566,48409,Wrong Item,52
567,65445,Wrong Item,56
568,66483,Wrong Item,34
569,30829,Wrong Item,65
570,90641,Cold Food,19
571,75157,Missing Item,32
572,73835,Late Delivery,33
573,73216,Cold Food,42
574,90845,Wrong Item,68
575,38150,Missing Item,19
576,81028,Wrong Item,15
577,28583,Wrong Item,14
578,74429,Missing Item,13
579,53022,Missing Item,56
580,22337,Late Delivery,57
581,23502,Missing Item,26
582,86307,Missing Item,52
583,63153,Late Delivery,23
584,82760,Late Delivery,30
585,70986,Late Delivery,7
586,47066,Wrong Item,36
587,16832,Missing Item,66
588,11490,Late Delivery,27
589,39098,Missing Item,66
590,23765,Late Delivery,21
591,18576,Missing Item,21
592,17762,Late Delivery,59
593,91572,Missing Item,8
594,33016,Wrong Item,46
595,67446,Cold Food,41
596,53629,Wrong Item,16
597,35514,Late Delivery,32
598,10419,Late Delivery,32
599,30926,Wrong Item,61
600,3768,Wrong Item,67
601,14662,Wrong Item,61
602,60846,Cold Food,49
603,26794,Cold Food,66
604,67697,Wrong Item,35
605,79450,Cold Food,24
606,79740,Wrong Item,35
607,97723,Late Delivery,65
608,50662,Wrong Item,45
609,66506,Late Delivery,44
610,70567,Cold Food,25
611,66335,Late Delivery,42
612,5484,Cold Food,18
613,71932,Late Delivery,3
614,87043,Wrong Item,36
615,39605,Cold Food,14
616,56910,Missing Item,6
617,15079,Wrong Item,12
618,5425,Missing Item,26
619,69947,Missing Item,27
620,57579,Cold Food,51
621,1254,Missing Item,43
622,56356,Late Delivery,33
623,52599,Cold Food,54
624,82564,Missing Item,49
625,46796,Wrong Item,27
626,19181,Cold Food,31
627,19884,Cold Food,54
628,70320,Wrong Item,62
629,66019,Cold Food,22
630,41415,Late Delivery,36
631,58164,Wrong Item,20
632,41242,Cold Food,17
633,10999,Missing Item,45
634,38680,Missing Item,36
635,91076,Late Delivery,22
636,68127,Missing Item,34
637,85121,Wrong Item,37
638,18328,Cold Food,8
639,86958,Late Delivery,18
640,49790,Missing Item,1
641,41825,Wrong Item,69
642,57350,Wrong Item,12
643,71683,Missing Item,25
644,60304,Wrong Item,25
645,19572,Late Delivery,70
646,73205,Missing Item,55
647,4836,Missing Item,23
648,85566,Cold Food,59
649,94441,Cold Food,55
650,64842,Cold Food,11
651,74571,Cold Food,53
652,72804,Wrong Item,39
653,29957,Late Delivery,57
654,10375,Wrong Item,2
655,56881,Missing Item,13
656,48858,Wrong Item,15
657,24151,Cold Food,65
658,11960,Late Delivery,8
659,99012,Missing Item,55
660,11380,Wrong Item,60
661,17833,Missing Item,34
662,93082,Late Delivery,51
663,55687,Late Delivery,34
664,11546,Cold Food,13
665,86429,Late Delivery,50
666,79076,Cold Food,37
667,33332,Missing Item,51
668,81967,Cold Food,25
669,69180,Wrong Item,46
670,81512,Cold Food,24
671,46481,Wrong Item,69
672,65009,Late Delivery,48
673,67030,Cold Food,43
674,22929,Wrong Item,3
675,99329,Missing Item,6
676,34849,Late Delivery,66
677,90591,Late Delivery,53
678,4528,Wrong Item,54
679,89285,Missing Item,37
680,31616,Wrong Item,11
681,1602,Missing Item,22
682,88572,Late Delivery,2
683,12690,Cold Food,13
684,72046,Wrong Item,32
685,55185,Cold Food,4
686,85142,Late Delivery,53
687,43595,Cold Food,28
688,79286,Missing Item,28
689,83737,Cold Food,63
690,72982,Cold Food,24
691,13164,Late Delivery,36
692,97502,Cold Food,27
693,73490,Wrong Item,8
694,45351,Wrong Item,26
695,71931,Missing Item,54
696,59374,Late Delivery,49
697,78897,Late Delivery,19
698,4243,Missing Item,48
699,84694,Missing Item,66
700,16298,Cold Food,17
701,37113,Cold Food,60
702,601,Late Delivery,59
703,44629,Missing Item,18
704,249,Wrong Item,43
705,17295,Wrong Item,10
706,88960,Late Delivery,20
707,65061,Wrong Item,2
708,31914,Wrong Item,33
709,54774,Wrong Item,56
710,10908,Missing Item,52
711,4785,Wrong Item,39
712,7626,Missing Item,56
713,90942,Missing Item,61
714,78153,Wrong Item,67
715,17818,Late Delivery,31
716,32143,Missing Item,36
717,22582,Wrong Item,69
718,2509,Wrong Item,43
719,15531,Wrong Item,70
720,7683,Late Delivery,37
721,7926,Late Delivery,12
722,82790,Missing Item,63
723,6374,Missing Item,32
724,37828,Cold Food,66
725,53477,Late Delivery,21
726,41458,Wrong Item,7
727,62521,Missing Item,22
728,26120,Wrong Item,39
729,99327,Late Delivery,12
730,48280,Missing Item,41
731,31387,Missing Item,68
732,77415,Late Delivery,36
733,74166,Wrong Item,43
734,53692,Wrong Item,7
735,16756,Cold Food,41
736,16403,Late Delivery,33
737,81614,Late Delivery,63
738,17422,Missing Item,36
739,50058,Wrong Item,11
740,92367,Late Delivery,31
741,19266,Wrong Item,35
742,5788,Late Delivery,35
743,13156,Missing Item,65
744,49200,Wrong Item,7
745,8797,Missing Item,31
746,59505,Late Delivery,15
747,88402,Late Delivery,58
748,53115,Missing Item,26
749,62288,Late Delivery,47
750,7615,Missing Item,19
751,5864,Cold Food,62
752,17475,Wrong Item,67
753,64584,Missing Item,57
754,69937,Missing Item,9
755,21960,Missing Item,50
756,17401,Late Delivery,50
757,42699,Missing Item,62
758,78064,Cold Food,44
759,69851,Late Delivery,11
760,52921,Cold Food,67
761,42351,Wrong Item,52
762,37583,Missing Item,55
763,77763,Missing Item,59
764,75873,Late Delivery,60
765,70099,Missing Item,70
766,34985,Missing Item,2
767,51562,Wrong Item,70
768,18344,Cold Food,46
769,73220,Late Delivery,10
770,21089,Missing Item,58
771,31299,Cold Food,43
772,69563,Cold Food,43
773,45028,Cold Food,28
774,5277,Cold Food,33
775,45075,Missing Item,31
776,19965,Late Delivery,42
777,28067,Wrong Item,61
778,77362,Missing Item,55
779,93721,Wrong Item,13
780,84951,Cold Food,4
781,77035,Cold Food,43
782,62957,Wrong Item,19
783,42447,Missing Item,68
784,10429,Late Delivery,67
785,44840,Missing Item,66
786,49505,Cold Food,57
787,63943,Missing Item,55
788,21686,Late Delivery,25
789,51308,Cold Food,45
790,14732,Missing Item,28
791,35874,Late Delivery,21
792,96420,Cold Food,69
793,93110,Missing Item,11
794,8930,Cold Food,52
795,11052,Cold Food,46
796,42989,Late Delivery,20
797,2799,Cold Food,16
798,65647,Cold Food,43
799,88528,Late Delivery,43
800,53894,Wrong Item,8
801,71636,Wrong Item,39
802,37244,Cold Food,66
803,11092,Wrong Item,60
804,54471,Cold Food,51
805,85357,Late Delivery,5
806,6204,Cold Food,49
807,33964,Wrong Item,33
808,66092,Cold Food,32
809,80127,Late Delivery,3
810,66532,Late Delivery,23
811,50887,Missing Item,6
812,60349,Late Delivery,71
813,25835,Cold Food,22
814,9584,Wrong Item,4
815,19762,Late Delivery,4
816,5165,Cold Food,44
817,12776,Wrong Item,18
818,97122,Late Delivery,26
819,29355,Missing Item,45
820,4497,Wrong Item,61
821,60242,Wrong Item,34
822,475,Missing Item,33
823,76616,Late Delivery,11
824,17518,Cold Food,21
825,60905,Cold Food,58
826,49574,Missing Item,60
827,27479,Cold Food,39
828,42025,Late Delivery,67
829,64731,Cold Food,7
830,63284,Missing Item,12
831,12483,Wrong Item,4
832,29594,Late Delivery,11
833,91525,Wrong Item,58
834,4794,Wrong Item,20
835,55490,Late Delivery,6
836,88977,Cold Food,68
837,39529,Missing Item,45
838,94684,Cold Food,21
839,21674,Wrong Item,5
840,67990,Late Delivery,31
841,13650,Cold Food,9
842,6553,Missing Item,70
843,99784,Wrong Item,1
844,72960,Cold Food,4
845,49249,Wrong Item,9
846,97292,Wrong Item,48
847,50755,Cold Food,65
848,45895,Wrong Item,44
849,82029,Wrong Item,1
850,55197,Missing Item,18
851,47170,Late Delivery,34
852,81333,Late Delivery,67
853,226,Missing Item,44
854,90911,Wrong Item,55
855,96556,Late Delivery,56
856,58417,Wrong Item,8
857,87664,Wrong Item,47
858,43924,Wrong Item,44
859,65958,Wrong Item,23
860,47373,Wrong Item,45
861,85729,Late Delivery,6
862,1589,Late Delivery,71
863,70392,Late Delivery,32
864,55762,Cold Food,71
865,7828,Cold Food,46
866,63837,Wrong Item,68
867,46998,Missing Item,34
868,28669,Late Delivery,38
869,52718,Cold Food,22
870,23600,Wrong Item,26
871,3710,Late Delivery,57
872,37266,Late Delivery,13
873,57969,Late Delivery,10
874,12586,Late Delivery,13
875,775,Wrong Item,61
876,30226,Wrong Item,59
877,44266,Missing Item,61
878,45566,Late Delivery,13
879,23822,Cold Food,34
880,71718,Cold Food,69
881,51883,Cold Food,36
882,22528,Missing Item,70
883,46665,Missing Item,25
884,111,Cold Food,14
885,14814,Late Delivery,21
886,9530,Missing Item,43
887,89993,Cold Food,18
888,9014,Late Delivery,26
889,32227,Cold Food,12
890,63204,Missing Item,60
891,15440,Late Delivery,53
892,36649,Cold Food,47
893,11548,Late Delivery,71
894,75778,Missing Item,62
895,47554,Cold Food,24
896,41298,Missing Item,12
897,92615,Late Delivery,8
898,11214,Wrong Item,18
899,94773,Cold Food,37
900,40619,Cold Food,48
901,81650,Wrong Item,18
902,53834,Missing Item,32
903,18025,Missing Item,8
904,30134,Cold Food,9
905,9793,Wrong Item,35
906,42633,Cold Food,33
907,23554,Late Delivery,25
908,93994,Missing Item,68
909,68358,Wrong Item,47
910,19298,Cold Food,56
911,50817,Wrong Item,39
912,53445,Cold Food,47
913,59937,Cold Food,8
914,36250,Missing Item,28
915,79074,Cold Food,14
916,40333,Missing Item,1
917,93856,Cold Food,33
918,37791,Late Delivery,69
919,54887,Cold Food,37
920,95366,Wrong Item,48
921,72778,Missing Item,4
922,749,Late Delivery,50
923,61717,Missing Item,49
924,24171,Late Delivery,16
925,47009,Wrong Item,42
926,17206,Late Delivery,49
927,34338,Missing Item,11
928,37446,Missing Item,60
929,5482,Wrong Item,8
930,82434,Missing Item,52
931,1239,Cold Food,66
932,38481,Cold Food,35
933,82989,Late Delivery,18
934,69962,Wrong Item,19
935,7967,Cold Food,51
936,28663,Late Delivery,6
937,43582,Cold Food,29
938,75036,Missing Item,10
939,72465,Late Delivery,23
940,17496,Missing Item,32
941,49985,Cold Food,38
942,74150,Late Delivery,24
943,2391,Late Delivery,62
944,93071,Missing Item,43
945,71863,Late Delivery,62
946,21036,Cold Food,16
947,33231,Wrong Item,46
948,18917,Cold Food,53
949,21264,Wrong Item,26
950,63504,Missing Item,45
951,56150,Late Delivery,2
952,19333,Missing Item,61
953,47395,Cold Food,10
954,95253,Wrong Item,30
955,62687,Wrong Item,4
956,2948,Wrong Item,64
957,58607,Cold Food,2
958,77384,Late Delivery,16
959,24837,Missing Item,60
960,30256,Wrong Item,30
961,56560,Missing Item,58
962,14433,Cold Food,3
963,26891,Missing Item,30
964,54580,Wrong Item,37
965,8042,Late Delivery,55
966,27397,Cold Food,12
967,764,Wrong Item,15
968,5095,Late Delivery,14
969,17882,Cold Food,15
970,12250,Missing Item,70
971,92552,Missing Item,23
972,60958,Late Delivery,68
973,56813,Missing Item,71
974,47632,Late Delivery,53
975,58597,Late Delivery,20
976,19797,Missing Item,23
977,39349,Wrong Item,35
978,59163,Missing Item,14
979,59050,Late Delivery,59
980,47939,Missing Item,29
981,61069,Wrong Item,8
982,60803,Late Delivery,68
983,37627,Late Delivery,56
984,96454,Missing Item,35
985,10261,Wrong Item,54
986,97305,Cold Food,65
987,36787,Cold Food,42
988,49555,Late Delivery,10
989,85479,Cold Food,20
990,85520,Cold Food,71
991,76562,Missing Item,53
992,6924,Late Delivery,10
993,88864,Cold Food,1
994,26700,Wrong Item,58
995,42431,Wrong Item,1
996,65155,Missing Item,37
997,38634,Missing Item,44
998,36322,Cold Food,1
999,15839,Late Delivery,66
1000,41124,Cold Food,15
1001,78631,Missing Item,63
1002,17822,Wrong Item,27
1003,36483,Missing Item,51
1004,27647,Late Delivery,45
1005,22243,Wrong Item,32
1006,74796,Wrong Item,37
1007,55296,Late Delivery,42
1008,94993,Missing Item,21
1009,53257,Missing Item,71
1010,12240,Missing Item,4
1011,44255,Missing Item,65
1012,31599,Wrong Item,4
1013,89198,Missing Item,61
1014,1045,Cold Food,67
1015,85901,Late Delivery,69
1016,22646,Wrong Item,54
1017,78727,Wrong Item,7
1018,63801,Wrong Item,39
1019,75811,Missing Item,4
1020,18740,Missing Item,50
1021,85674,Wrong Item,62
1022,52197,Cold Food,41
1023,63543,Late Delivery,45
1024,49351,Cold Food,53
1025,58756,Cold Food,9
1026,90429,Late Delivery,31
1027,36536,Cold Food,14
1028,36850,Wrong Item,2
1029,21390,Missing Item,12
1030,21187,Cold Food,28
1031,52181,Late Delivery,19
1032,11860,Wrong Item,26
